"telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss"
"Pump Signals","Cryptopumps55",2018-09-01 18:00:00,"TUSD","Yobit","BTC",0.0001401,0.0001401,0.000138,0.000138,NA,0.01661,0.0006697,0,-0.0149892933618843
"Bomba bitcoin ""cryptopia""","bombabitcoin1",2018-08-31 20:07:00,"OPCX","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"??Crypto Millionaire??","cryptocoinsultants07",2018-08-31 20:07:00,"OPCX","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pump'N'Pump - 2018","pumpn",2018-08-31 15:00:00,"CAT","Cryptopia","BTC",1.982e-05,1.987e-05,1.987e-05,1.987e-05,NA,0.020851,0.0005489,0.00252270433905152,0
"Cryptopia Pump Squad","cryptoflashsignals",2018-08-30 20:01:00,"FLAX","Cryptopia","BTC",6.1e-07,6.9e-07,6.1e-07,6.9e-07,417,0.0006936,0,0.131147540983607,0
"MassivePump","massivepump1",2018-08-30 18:01:00,"AE","Yobit","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crypto Pump Island","crypto_pump_island",2018-08-30 16:00:00,"GRN","Cryptopia","BTC",1.7e-07,2e-07,2e-07,2e-07,1606,0.00124,0.010197,0.176470588235294,0
"Pump'N'Pump - 2018","pumpn",2018-08-29 15:00:00,"EVIL","Cryptopia","BTC",9.7e-07,9.7e-07,9.7e-07,9.7e-07,NA,0.007702,0.004826,0,0
"PUMP OFFICIAL CRYPTO","LuxuriousCrypto",2018-08-28 20:01:00,"HQX","Yobit","BTC",1.11e-06,1.29e-06,1.11e-06,1.28e-06,NA,0.002573,0.001771,0.162162162162162,-0.00775193798449605
"OFFICIAL PUMP EXPERTS","officialpumpexperts",2018-08-28 17:05:00,"XMG","Bittrex","BTC",1.392e-05,1.49e-05,1.364e-05,1.462e-05,NA,0.19632,0.46109,0.0704022988505746,-0.0187919463087248
"Crypto Pump Island","crypto_pump_island",2018-08-27 16:00:00,"BERN","Cryptopia","BTC",1.4e-07,1.5e-07,1.5e-07,1.5e-07,916,0.003531,0.02404,0.0714285714285713,0
"Donald Pump","DonaldPumpCrypto",2018-08-26 20:00:00,"SHRM","Cryptopia","BTC",0.0001839,0.0001839,0.0001826,0.0001826,623,0.003767,0.027072,0,-0.00706905927134315
"Hit Pump Signals &amp; Strategies","hitpumpsandsignals",2018-08-22 19:00:00,"XZX","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Official McAfee Signals","officialmcafeepumpsignals",2018-08-22 19:00:00,"XZX","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MassivePump","massivepump1",2018-08-22 18:00:00,"MNZ","Yobit","BTC",9.1e-06,9.1e-06,9.1e-06,9.1e-06,29,0,0.005503,0,0
"Hit Pump Signals &amp; Strategies","hitpumpsandsignals",2018-08-19 19:00:00,"DIM","Cryptopia","BTC",3.7e-07,3.7e-07,3.7e-07,3.6e-07,2365,0.0008755,0.010351,0,-0.0270270270270271
"Donald Pump","DonaldPumpCrypto",2018-08-18 18:00:00,"CACH","Cryptopia","BTC",1.2e-06,1.2e-06,1.2e-06,1.2e-06,687,0,0.040976,0,0
"MassivePump","massivepump1",2018-08-17 17:01:00,"HAC","Yobit","BTC",6.7e-07,6.8e-07,6.8e-07,6.8e-07,27,0.0009898,0.009441,0.0149253731343282,0
"Pump Signals","Cryptopumps55",2018-08-16 19:00:00,"BIP","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crypto Pump Island","crypto_pump_island",2018-08-16 16:00:00,"ARI","Cryptopia","BTC",1e-07,1.3e-07,1.3e-07,1.3e-07,833,0.001503,0.043146,0.3,0
"Central Pumps","CentralPumps",2018-08-16 13:00:00,"VIB","Bittrex","BTC",5.16e-06,5.19e-06,5.19e-06,5.19e-06,60,0.007461,0.99601,0.0058139534883722,0
"Bitcoin Pump Signal ™","bitcoin_pump_signal",2018-08-15 19:00:00,"GRN","Cryptopia","BTC",3.1e-07,3.2e-07,3.1e-07,3.2e-07,NA,0.061048,0.0042398,0.0322580645161291,0
"MassivePump","massivepump1",2018-08-14 17:59:00,"PRO","Yobit","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Pumps","CentralPumps",2018-08-14 13:00:00,"UKG","Bittrex","BTC",7.4e-06,7.69e-06,7.46e-06,7.61e-06,61,0.149068,0.42821,0.039189189189189,-0.0104031209362808
"McAfee Mega Signals™","officialmcafeesignals",2018-08-14 13:00:00,"UKG","Bittrex","BTC",7.4e-06,7.69e-06,7.46e-06,7.61e-06,2614,0.149068,0.42821,0.039189189189189,-0.0104031209362808
"Rocket Crypto Pump Signals &amp; Strategies","rocketpumptrader",2018-08-13 20:01:00,"COAL","Cryptopia","BTC",8e-07,8e-07,8e-07,8e-07,NA,0.0006843,0.009153,0,0
"MassivePump","massivepump1",2018-08-13 19:00:00,"PAI","Yobit","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crypto Pump Island","crypto_pump_island",2018-08-13 16:00:00,"BEEZ","Cryptopia","BTC",2.8e-07,2.8e-07,2.8e-07,2.5e-07,663,0.001892,0.045376,0,-0.107142857142857
"McAfee Mega Signals™","officialmcafeesignals",2018-08-13 09:44:00,"TX","Bittrex","BTC",6.4e-05,6.443e-05,6.443e-05,6.443e-05,1832,0.0101777,2.95355,0.00671875000000012,0
"MassivePump","massivepump1",2018-08-12 16:59:00,"HDG","Yobit","BTC",0.0004439,0.0004439,2e-04,0.00014,20,0.0529806,0.155482,0,-0.684613651723361
"Crypto Pump Island","crypto_pump_island",2018-08-10 16:00:00,"FC2","Cryptopia","BTC",3.1e-07,3.1e-07,3.1e-07,3.1e-07,734,0,0.001408,0,0
"MassivePump","massivepump1",2018-08-09 19:00:00,"TORQ","Yobit","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donald Pump","DonaldPumpCrypto",2018-08-08 20:30:00,"INPAY","Cryptopia","BTC",4.45e-06,4.52e-06,4.4e-06,4.4e-06,573,0.037526,0.006872,0.0157303370786517,-0.0265486725663716
"Bitcoin Pump Signal ™","bitcoin_pump_signal",2018-08-08 20:00:00,"STV","Cryptopia","BTC",1.75e-06,1.75e-06,1.75e-06,1.75e-06,NA,0,0.003414,0,0
"Crypto Whales™","whalezcrypt",2018-08-08 08:30:00,"OK","Yobit","BTC",8e-06,8e-06,8e-06,8e-06,NA,0,0,0,0
"The Crypto Analyst","TheCryptoAnalysts",2018-08-07 19:11:00,"QBT","Cryptopia","BTC",2.4e-07,2.4e-07,2.4e-07,2.4e-07,NA,0,0.01065,0,0
"Crypto Pump Island","crypto_pump_island",2018-08-07 16:00:00,"ELM","Cryptopia","BTC",3e-07,3e-07,3e-07,3e-07,855,0.002596,0.019819,0,0
"??Crypto Millionaire??","cryptocoinsultants07",2018-08-06 19:00:00,"GRN","Cryptopia","BTC",3.1e-07,3.3e-07,3.2e-07,3.2e-07,251,0.001407,0,0.0645161290322581,-0.0303030303030303
"Crypto Yoda Signals","thecryptoyoda",2018-08-05 19:00:00,"BNC","Cryptopia","BTC",1e-04,0.0001091,0.0001091,0.0001091,1052,0.001713,0.0139231,0.0909999999999999,0
"Bitcoin Pump Signal ™","bitcoin_pump_signal",2018-08-03 19:00:00,"CACH","Cryptopia","BTC",1.12e-06,1.12e-06,1.12e-06,1.06e-06,NA,0.002646,0.013668,0,-0.0535714285714286
"YOBIT SIGNAL MARKET","professorbtc",2018-08-03 17:00:00,"CL","Yobit","BTC",1.53e-06,1.7e-06,1.48e-06,1.69e-06,100,0.004592,0.022605,0.111111111111111,-0.00588235294117654
"Crypto Pump Island","crypto_pump_island",2018-07-31 15:59:00,"EDC","Cryptopia","BTC",1.5e-07,1.5e-07,1.5e-07,1.5e-07,754,0,0.0007154,0,0
"Donald Pump","DonaldPumpCrypto",2018-07-29 19:00:00,"MNE","Cryptopia","BTC",1.087e-05,1.13e-05,1.087e-05,1.12e-05,910,0.00259,0.0012553,0.0395584176632936,-0.00884955752212396
"Shark Pump Signals","Sharkpumpsignals",2018-07-28 19:00:00,"SOON","Cryptopia","BTC",7e-07,7.1e-07,7e-07,7.1e-07,NA,0.0075439,0.025971,0.0142857142857143,0
"?? Cryptopia Signal ??","cryptopiaPumpp",2018-07-28 18:00:00,"BNC","Cryptopia","BTC",0.000102,0.000102,0.000102,0.000102,1859,0,0,0,0
"Big signal","togetherwepump1",2018-07-28 17:00:00,"HAC","Yobit","BTC",8.9e-07,8.9e-07,8.9e-07,7.4e-07,82,0.0017387,0.005429,0,-0.168539325842697
"Crypto Pump Island","crypto_pump_island",2018-07-28 16:04:00,"FC2","Cryptopia","BTC",2.1e-07,2.3e-07,2.3e-07,2.3e-07,773,0.001495,0,0.0952380952380952,0
"Big signal","togetherwepump1",2018-07-26 17:00:00,"SLING","Yobit","BTC",1.95e-06,1.95e-06,1.95e-06,1.95e-06,60,0,0.00013,0,0
"The Crypto Analyst","TheCryptoAnalysts",2018-07-25 19:00:00,"QBT","Cryptopia","BTC",2.1e-07,2.4e-07,2.4e-07,2.4e-07,NA,0.017006,0.012274,0.142857142857143,0
"Crypto Pump Island","crypto_pump_island",2018-07-25 16:02:00,"BEEZ","Cryptopia","BTC",2.7e-07,2.7e-07,2.7e-07,2.7e-07,761,0.02192,0.00292,0,0
"Donald Pump","DonaldPumpCrypto",2018-07-24 19:00:00,"MAGN","Cryptopia","BTC",5.95e-06,5.96e-06,5.15e-06,5.96e-06,675,0.016217,0.094185,0.00168067226890755,0
"??Pump Signal??","bitcoin_pump_signal",2018-07-22 18:30:00,"BNC","Cryptopia","BTC",0.00011,0.00011,0.000104,0.000104,NA,0.006318,0.010727,0,-0.0545454545454546
"Crypto Mega Pumps Yobit","CryptoMegaPumps",2018-07-21 16:59:00,"INFX","Yobit","BTC",1.002e-05,1.003e-05,1.002e-05,1.001e-05,NA,0.0044011,0.006451,0.000998003992015958,-0.0019940179461615
"Crypto Pump Island","crypto_pump_island",2018-07-21 16:00:00,"KRONE","Cryptopia","BTC",4.8e-07,5.2e-07,5.1e-07,5.1e-07,929,0.01728,0.0027,0.0833333333333334,-0.0192307692307692
