"","telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss","withdata","reprate","withcryptopiadata"
"158","Donald Pump","DonaldPumpCrypto",2018-08-18 18:00:00,"CACH","Cryptopia","BTC",1.2e-06,1.2e-06,1.2e-06,1.2e-06,687,0,0.040976,0,0,TRUE,0.291666666666667,TRUE
"160","Pump Signals","Cryptopumps55",2018-08-16 19:00:00,"BIP","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.260869565217391,FALSE
"161","Crypto Pump Island","crypto_pump_island",2018-08-16 16:00:00,"ARI","Cryptopia","BTC",1e-07,1.3e-07,1.3e-07,1.3e-07,833,0.001503,0.043146,0.3,0,TRUE,0.272727272727273,TRUE
"163","Bitcoin Pump Signal ™","bitcoin_pump_signal",2018-08-15 19:00:00,"GRN","Cryptopia","BTC",3.1e-07,3.2e-07,3.1e-07,3.2e-07,NA,0.061048,0.0042398,0.0322580645161291,0,TRUE,0.285714285714286,TRUE
"167","Rocket Crypto Pump Signals &amp; Strategies","rocketpumptrader",2018-08-13 20:01:00,"COAL","Cryptopia","BTC",8e-07,8e-07,8e-07,8e-07,NA,0.0006843,0.009153,0,0,TRUE,0.25,TRUE
"169","Crypto Pump Island","crypto_pump_island",2018-08-13 16:00:00,"BEEZ","Cryptopia","BTC",2.8e-07,2.8e-07,2.8e-07,2.5e-07,663,0.001892,0.045376,0,-0.107142857142857,TRUE,0.263157894736842,TRUE
"172","Crypto Pump Island","crypto_pump_island",2018-08-10 16:00:00,"FC2","Cryptopia","BTC",3.1e-07,3.1e-07,3.1e-07,3.1e-07,734,0,0.001408,0,0,TRUE,0.222222222222222,TRUE
"174","Donald Pump","DonaldPumpCrypto",2018-08-08 20:30:00,"INPAY","Cryptopia","BTC",4.45e-06,4.52e-06,4.4e-06,4.4e-06,573,0.037526,0.006872,0.0157303370786517,-0.0265486725663716,TRUE,0.176470588235294,TRUE
"175","Bitcoin Pump Signal ™","bitcoin_pump_signal",2018-08-08 20:00:00,"STV","Cryptopia","BTC",1.75e-06,1.75e-06,1.75e-06,1.75e-06,NA,0,0.003414,0,0,TRUE,0.1875,TRUE
"177","The Crypto Analyst","TheCryptoAnalysts",2018-08-07 19:11:00,"QBT","Cryptopia","BTC",2.4e-07,2.4e-07,2.4e-07,2.4e-07,NA,0,0.01065,0,0,TRUE,0.2,TRUE
"178","Crypto Pump Island","crypto_pump_island",2018-08-07 16:00:00,"ELM","Cryptopia","BTC",3e-07,3e-07,3e-07,3e-07,855,0.002596,0.019819,0,0,TRUE,0.142857142857143,TRUE
"179","??Crypto Millionaire??","cryptocoinsultants07",2018-08-06 19:00:00,"GRN","Cryptopia","BTC",3.1e-07,3.3e-07,3.2e-07,3.2e-07,251,0.001407,0,0.0645161290322581,-0.0303030303030303,TRUE,0.153846153846154,TRUE
"180","Crypto Yoda Signals","thecryptoyoda",2018-08-05 19:00:00,"BNC","Cryptopia","BTC",1e-04,0.0001091,0.0001091,0.0001091,1052,0.001713,0.0139231,0.0909999999999999,0,TRUE,0.166666666666667,TRUE
"181","Bitcoin Pump Signal ™","bitcoin_pump_signal",2018-08-03 19:00:00,"CACH","Cryptopia","BTC",1.12e-06,1.12e-06,1.12e-06,1.06e-06,NA,0.002646,0.013668,0,-0.0535714285714286,TRUE,0.0909090909090909,TRUE
"183","Crypto Pump Island","crypto_pump_island",2018-07-31 15:59:00,"EDC","Cryptopia","BTC",1.5e-07,1.5e-07,1.5e-07,1.5e-07,754,0,0.0007154,0,0,TRUE,0.1,TRUE
"184","Donald Pump","DonaldPumpCrypto",2018-07-29 19:00:00,"MNE","Cryptopia","BTC",1.087e-05,1.13e-05,1.087e-05,1.12e-05,910,0.00259,0.0012553,0.0395584176632936,-0.00884955752212396,TRUE,0.111111111111111,TRUE
"185","Shark Pump Signals","Sharkpumpsignals",2018-07-28 19:00:00,"SOON","Cryptopia","BTC",7e-07,7.1e-07,7e-07,7.1e-07,NA,0.0075439,0.025971,0.0142857142857143,0,TRUE,0.125,TRUE
