"","Currency","CurrencyLong","MinConfirmation","TxFee","IsActive","IsRestricted","CoinType","BaseAddress","Notice"
"243","DTA","Data",36,1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"244","EDR","Endor",36,1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"245","BOXX","Blockparty",36,1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"246","IHT","I-House Token",36,1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"247","XHV","Haven Protocol",20,0.01,TRUE,FALSE,"CRYPTO_NOTE_PAYMENTID","hvxyFVTrt3WJ4iuKD6QdXLakPLLwcKH7V2kygVtwWcU9JQSbotVhQkZNijkrmq4sjrghe1bvKeHGacSRztz8XpNL6AKa5U2erC",NA
"248","NPXS","Pundi X",36,1,TRUE,TRUE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"249","PMA","PumaPay",36,1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"250","PAL","PAL Network",36,1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"251","PAX","Paxos Standard",36,1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"252","ZIL","Zilliqa",36,1,TRUE,TRUE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"253","MOC","Mossland",36,1,TRUE,TRUE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"254","OST","Simple Token",36,1,TRUE,TRUE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"255","SPC","SpaceChain",36,1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
