"","Currency","CurrencyLong","MinConfirmation","TxFee","IsActive","IsRestricted","CoinType","BaseAddress","Notice"
"163","GUP","Guppy",36,7,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"164","LUN","Lunyr",36,0.15,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"165","APX","Apx",36,0.1,TRUE,FALSE,"ETH_CONTRACT","0xb3c4e9ca7c12a6277deb9eef2dece65953d1c864",NA
"166","TKN","TokenCard",36,0.4,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"167","HMQ","Humaniq",36,16,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"168","ANT","Aragon",36,1.3,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"169","ZEN","Horizen",200,0.002,TRUE,FALSE,"BITCOINEX","znijtPB2zXxNG8qKnKuZprH9SbYhvdAzn5P",NA
"170","SC","Siacoin",6,0.1,TRUE,FALSE,"SIA",NA,NA
"171","BAT","Basic Attention Token",36,10,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"172","1ST","Firstblood",36,4.5,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"173","QRL","Quantum Resistant Ledger",36,2.5,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"174","CRB","CreditBit",36,8,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"175","PTOY","Patientory",36,14,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"176","MYST","Mysterium",36,2.5,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"177","CFI","Cofound.it",36,27,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"178","BNT","Bancor",36,0.85,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"179","NMR","Numeraire",36,0.15,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"180","SNT","Status Network Token",36,20,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"181","DCT","DECENT",2,0.1,TRUE,FALSE,"BITSHAREX","bittrex",NA
"182","XEL","Elastic",8,0.2,TRUE,FALSE,"NXT","XEL-AQVJ-PPCK-QJYJ-8T65V",NA
"183","MCO","Crypto.com",36,0.5,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"184","ADT","adToken",36,43,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"185","FUN","FunFair",36,49,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"186","PAY","TenX Pay Token",36,2,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"187","MTL","METAL",36,1.35,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"188","STORJ","STORJ",36,3,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"189","ADX","AdEx",36,3,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"190","OMG","OmiseGO",36,0.35,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"191","CVC","Civic",36,8,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"192","PART","Particl",10,0.1,TRUE,FALSE,"BITCOIN",NA,NA
"193","QTUM","Qtum",20,0.01,TRUE,FALSE,"BITCOIN16",NA,NA
"194","BCH","Bitcoin Cash",6,0.001,TRUE,FALSE,"BITCOIN","1MDyWzZjhtM8h1vpDzoyi3Pe2KALsyE7FM",NA
"195","DNT","district0x",36,29,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"196","ADA","Cardano",20,0.2,TRUE,FALSE,"ADA",NA,NA
"197","MANA","Decentraland",36,36,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"198","SALT","Salt",36,0.6,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"199","TIX","Blocktix",36,5,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"200","RCN","Ripio Credit Network",36,16,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
