"","Symbol","mktcap"
"2049","ATH",22
"24","EMD",21
"189","GAP",21
"358","CHESS",21
"411","ASAFE2",21
"526","MNE",21
"778","WHL",21
"813","TRCT",21
"1668","BBK",21
"1883","IQ",21
"2017","WAGE",21
"240","BITEUR",20
"271","PAK",20
"363","CJ",20
"1089","TOKC",20
"1538","YUP",20
"1990","BLAST",20
"295","CRB",19
"525","ITI",19
"530","INSN",19
"534","RLT",19
"825","ETG",19
"1193","JEW",19
"1608","XXX",19
"1695","CMM",19
"1781","SGP",19
"2004","EGX",19
"2033","RPD",19
"37","GDC",18
"246","IRL",18
"382","GOLF",18
"495","KED",18
"782","WILD",18
"935","ACC",18
"1702","CROAT",18
"1999","SCRIV",18
"51","SMC",17
"65","ICN",17
"72","MARS",17
"77","LTB",17
"333","ARCO",17
"360","PUT",17
"632","BTWTY",17
"763","ODN",17
"839","BTCRED",17
"1051","STN",17
"1586","TOTO",17
"1684","BTCN",17
"1736","HTH",17
"1738","DGS",17
"2048","ZNT",17
"2083","TELOS",17
"67","ARI",16
"118","LCP",16
"349","ICOO",16
"474","PASL",16
"538","DMB",16
"549","V",16
"583","ONX",16
"629","MBRS",16
"643","SIGT",16
"694","ACC",16
"780","EBET",16
"785","CCT",16
"791","SDRN",16
"1662","OPCX",16
"1814","PRTX",16
"582","XLC",15
"671","SHDW",15
"926","ZZC",15
"1603","ACED",15
"1810","GRPH",15
"1865","MRI",15
"8","MNC",14
"126","C2",14
"153","J",14
"389","JIN",14
"402","ATOM",14
"459","CNT",14
"478","HONEY",14
"879","DSR",14
"964","KBR",14
"1312","TDS",14
"1416","BANK",14
"1930","PLURA",14
"2013","SIM",14
"2065","RPI",14
"2078","ITL",14
"85","CNO",13
"140","QTL",13
"320","MOJO",13
"354","GB",13
"514","WGO",13
"540","MCAP",13
"572","GLT",13
"906","EBCH",13
"1779","ARION",13
"1788","FNTB",13
"1815","LOBS",13
"1874","DIN",13
"2056","DATP",13
"2102","CSOUL",13
"28","SRC",12
"35","DTC",12
"135","BLZ",12
"150","TIT",12
"234","PKB",12
"242","FUNK",12
"269","BOLI",12
"277","DUO",12
"315","NEVA",12
"353","XRE",12
"443","VIDZ",12
"749","TKR",12
"878","ELTCOIN",12
"965","TOK",12
"969","CRC",12
"1097","HC",12
"1328","GRMD",12
"1876","HAVY",12
"285","SCRT",11
"311","XCT",11
"325","BERN",11
"334","XBTC21",11
"337","611",11
"647","300",11
"675","DDF",11
"680","XCXT",11
"730","DRXNE",11
"860","QVT",11
"1826","DELTA",11
"1861","ZBA",11
"1997","STEEP",11
"121","BOST",10
"275","SWING",10
"314","BIGUP",10
"336","ZUR",10
"420","KURT",10
"737","ETHD",10
"1143","GUESS",10
"1867","BTR",10
"105","QBC",9
"176","BSTY",9
"272","INFX",9
"301","EVIL",9
"422","ENT",9
"497","USC",9
"560","AMMO",9
"600","SOCC",9
"851","NTWK",9
"1132","SPK",9
"1650","ACRE",9
"1877","CARE",9
"1926","CTRT",9
"2066","CHEESE",9
"223","8BIT",8
"324","POST",8
"455","BOAT",8
"512","DEUS",8
"1655","BNN",8
"1944","PAXEX",8
"2022","PSC",8
"2061","HELP",8
"2080","BIT",8
"44","RPC",7
"113","DRM",7
"167","ACOIN",7
"216","XCO",7
"250","CPN",7
"352","HVCO",7
"393","DLC",7
"440","XSTC",7
"461","MSCN",7
"1013","HBC",7
"1142","QBIC",7
"1156","GRLC",7
"1678","GMCN",7
"1747","AREPA",7
"1803","MFTU",7
"1832","BNC0",7
"1961","AZART",7
"1982","PASS",7
"49","RED",6
"262","GCC",6
"316","BUMBA",6
"377","TAJ",6
"456","ERY",6
"542","MAY",6
"885","STARS",6
"920","DGPT",6
"985","TRDT",6
"1418","JOINT",6
"1444","XRH",6
"1673","TCH",6
"1776","YLC",6
"1936","GOSS",6
"1948","ACTP",6
"2045","XIND",6
"2094","SAKE",6
"95","PLC",5
"151","VTA",5
"182","STV",5
"200","GP",5
"205","SOON",5
"263","AMS",5
"264","EUC",5
"268","VEC2",5
"283","$$$",5
"284","SOIL",5
"312","IMS",5
"356","CMT",5
"447","DRS",5
"463","ALL",5
"492","IMX",5
"634","COAL",5
"652","GSR",5
"702","BRAT",5
"779","FLIK",5
"805","EXN",5
"844","JS",5
"1104","NOX",5
"1381","PLAN",5
"1726","RGS",5
"1847","FLM",5
"1994","FOX",5
"224","LEA",4
"227","CF",4
"318","PEX",4
"331","FUZZ",4
"388","ZYD",4
"403","JOBS",4
"441","BENJI",4
"457","ELS",4
"469","PIE",4
"471","VISIO",4
"515","MCRN",4
"580","KNC",4
"692","DALC",4
"790","POS",4
"919","PNX",4
"959","NUKO",4
"1996","OUR",4
"2047","KUN",4
"98","PLNC",3
"178","PXI",3
"235","ARB",3
"254","FLAX",3
"297","LTCR",3
"308","ADCN",3
"319","CAB",3
"444","ICOB",3
"460","MAR",3
"475","MILO",3
"487","B@",3
"517","SCS",3
"527","CNNC",3
"561","NRO",3
"584","BTPL",3
"707","LTCU",3
"710","KRONE",3
"855","ROOFS",3
"881","CRDNC",3
"894","GRIM",3
"956","JIYO",3
"966","PCOIN",3
"1743","NYEX",3
"1881","IMP",3
"1978","RAGNA",3
"2029","JIYOX",3
"2095","ROCK",3
"64","CACH",2
"122","BTQ",2
"218","SONG",2
"248","BSC",2
"380","VLT",2
"394","MST",2
"433","LUNA",2
"453","ICON",2
"473","GEERT",2
"488","WORM",2
"504","CXT",2
"536","ECO",2
"576","COUPE",2
"635","LBTC",2
"1703","BTCONE",2
"1823","BITF",2
"1844","STR",2
"1907","URALS",2
"2082","PNY",2
"214","WBB",1
"245","CREVA",1
"249","ACP",1
"278","SANDG",1
"342","PONZI",1
"372","VPRC",1
"428","DOLLAR",1
"429","VLTC",1
"445","IBANK",1
"464","PRC",1
"466","ARGUS",1
"506","CONX",1
"519","VOLT",1
"644","CTIC2",1
"709","NTO",1
"755","ITZ",1
"804","RKC",1
"854","PLACO",1
"2011","BSX",1
"2081","MODX",1
"450","MGM",0
"541","NANOX",0
"640","HMC",0
"676","BAS",0
"684","BLN",0
"797","CTIC3",0
"934","AI",0
"990","YTN",0
"2002","SHADE",0
"2055","CJS",0
