"","Symbol","mktcap"
"1001","NGC",2129
"1252","BAX",2105
"628","LINDA",2092
"1232","IHT",2091
"788","PPP",2070
"1543","MOC",2068
"955","ITC",2067
"1889","RTH",2063
"1338","XHV",2042
"1185","SWM",2010
"1499","MET",2008
"1518","WWB",1993
"1016","QLC",1987
"1234","LYM",1984
"134","BBR",1975
"556","ECA",1972
"91","FAIR",1967
"1233","RFR",1951
"1440","XYO",1943
"1849","TMC",1942
"493","XAS",1923
"1351","DOCK",1913
"653","MSP",1912
"1163","CPC",1897
"1034","APPC",1859
"703","PST",1848
"1230","RKT",1835
"999","MED",1823
"351","ION",1820
"94","NLG",1815
"415","LKK",1813
"1059","UTT",1811
"686","YOYOW",1801
"266","GCR",1800
"483","MER",1794
"22","CSC",1789
"1377","BCI",1789
"162","GAME",1779
"1005","SPHTX",1774
"1162","ZPT",1774
"1012","DBC",1768
"1470","LYL",1751
"1461","SEELE",1740
"889","DPY",1729
"1085","INT",1715
"1455","NKN",1710
"257","LEO",1696
"1566","SCRL",1695
"1279","LGO",1692
"518","BTX",1689
"1459","SPD",1689
"1931","ROX",1680
"1432","CLO",1678
"1581","COSM",1678
"169","BITUSD",1673
"1386","MTC",1666
"1415","SKB",1651
"424","DCT",1648
"1561","KAN",1646
"1218","LCC",1642
"33","UNO",1640
"811","BCPT",1601
"1837","BTN",1587
"1508","ZCN",1560
"1460","REPO",1557
"773","KICK",1554
"281","$PAC",1547
"421","PASC",1545
"1030","BLT",1545
"1950","ECOREAL",1540
"1618","HORUS",1526
"1014","NEU",1522
"1148","TRAC",1520
"1341","DERO",1517
"7","FTC",1515
"520","LUN",1489
"1828","NRG",1487
"502","HPC",1482
"1502","TERN",1468
"601","ADT",1461
"873","MNX",1461
"916","B2B",1456
"1153","FOTA",1452
"775","VIB",1451
"764","COB",1449
"359","LBC",1446
"716","MTH",1446
"884","ARN",1438
"1493","BWT",1436
"949","PRE",1433
"258","AEON",1432
"390","XTO",1421
"767","BIS",1413
"1834","QBIT",1407
"1211","MWAT",1400
"1607","MVL",1399
"1274","NANJ",1395
"1283","BITG",1394
"533","PZM",1384
"1698","LINA",1376
"63","XCP",1369
"787","EVX",1361
"818","EVR",1357
"191","CRW",1344
"1951","DAPS",1340
"1067","ATN",1338
"20","XPM",1335
"718","DLT",1327
"46","DIME",1325
"961","BWK",1318
"1031","SWFTC",1315
